ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,emoticons
782819737583714304,"u""RT @FreshNewsEditor: #Google to follow #Apple? USB-C's new #Audio spec could rid of your #Headphone Jack. #hardware #android $GOOG $AAPL ht\u2026""",False,5,0,1452,0.0,22,0,1,0
782818582509920257,"u'@Amrezyyy For what you do yes, $AAPL The IPhone 7 is more so for your field'",False,0,2,8,1.0,9,0,0,0
782816202032840704,"u""RT @davidmoadel: $SPX I'll stick to the plan: Sell #options before earnings reports; buy call spreads after earnings misses. $SPY $DIA $QQQ\u2026""",False,2,0,138,0.0,16,0,0,0
782815187460128768,u'The Closing Bell is out! https://t.co/fYetwDOmOU $EURUSD $GBPUSD $USDJPY $AUDUSD $SPY $TWTR $GPRO $YHOO $LNKD $FB $AAPL $BRD $CAT $WLT $LNKD',False,1,2,1076,0.0,70,1,0,0
782814153601798149,"u""RT @ZacksResearch: In our Dow 30 roundup we discuss Nike's recent earnings announcement? $NKE $BA $DB $AAPL $ADBE https://t.co/s7jAmzdSXq""",False,2,0,1222,0.0,25,0,1,0
782812908371574784,"u""RT @3llistdee: @GrantCardone @hale4jesus @realDonaldTrump @Apple I wonder who's on the $AAPL board from #ClintonFoundation? Shocking...""",False,7,0,256,-2.0,15,0,1,0
782808592730554369,"u""I'll tie them up in litigation so big so #HUGE on #RoshHashanah that they'll be bleeding Swiss/German franks and\u2026 https://t.co/LCHdtOlbny""",False,1,1,673,1.0,13,0,0,0
782808169378672640,u'$AAPL chart https://t.co/R4laPXOnfq via https://t.co/SbYB4hFAcB',False,1,2,1273,0.0,14,0,0,0
782807696496001024,u'VirnetX wins $302M ruling against Apple $AAPL $VHC https://t.co/FPuEjfuaFn',False,1,1,33,4.0,15,0,0,0
782807235709710338,u'@cannaemaillist #StockTip - $UBQU is the hottest #mmjstocks #marijuanastocks #mjstocks right now. $SPCL $TBEV $DLCR $AAPL $SFOR',False,0,0,769,0.0,26,0,0,0
782806550637346816,"u""RT @davidmoadel: $SPX I'll stick to the plan: Sell #options before earnings reports; buy call spreads after earnings misses. $SPY $DIA $QQQ\u2026""",False,2,0,1336,0.0,16,0,0,0
782806549798477824,u'RT @20x60Dressage: Week 37: Updates to $AAPL strategies for 2016 using weekly covered calls https://t.co/UEWdZiazDb',False,1,0,1336,0.0,14,0,0,0
782806549077032960,"u'RT @specstockscom: $AAPL $TWTR $FIT and 20,000+ other symbol streams on https://t.co/3M8AsrnWZx, The Discovery Engine, Social Network for I\u2026'",False,1,0,1336,1.0,23,0,0,0
782806547680428032,u'RT @stockgecko: $GOOG $AAPL stock1ace1: $KTOVW ~~&gt; $1.10 Close Friday ! - stock1ace1 https://t.co/LZ6uiuUodR',False,1,0,1336,0.0,21,1,0,0
782806547000950784,u'RT @OphirGottlieb: https://t.co/6Uzlwrognu\nApple OLED Screen Talks Nudge Sharp\u2019s Shares Higher via @YahooFinance\n$AAPL',False,1,0,1336,1.0,22,0,0,0
782805370972413952,u'RT @schaeffers: Universal Display $OLED down news Apple $AAPL may be looking at other screen suppliers https://t.co/cbpT7aJmlg',False,1,0,1222,0.0,15,0,0,0
782797059891924992,u'The Compound Effect by Darren Hardy: https://t.co/czGhVYUINg #investing #compunding $SPY $AAPL $MSFT $GE $KO $MSFT $AMZN',False,0,2,301,2.0,34,0,0,0
782796932372656129,u'RT @TradeWithSuper: SA_QuickIdeas: EV Company News For The Month Of September 2016 https://t.co/6pcz2bWXOP $AAPL #APPLE $BYDDF $BYDDY $DDAI\u2026',False,1,0,1631,0.0,45,0,0,0
782796254044487680,"u""$SPX I'll stick to the plan: Sell #options before earnings reports; buy call spreads after earnings misses. $SPY $DIA $QQQ $AAPL $AMZN $NFLX""",False,2,5,8551,0.0,26,0,0,0
782796154895409152,u'Week 37: Updates to $AAPL strategies for 2016 using weekly covered calls https://t.co/UEWdZiazDb',False,1,2,958,0.0,11,0,0,0
782793310788259840,"u'$AAPL $TWTR $FIT and 20,000+ other symbol streams on https://t.co/3M8AsrnWZx, The Discovery Engine, Social Network for Investors. #stocks'",False,1,2,1229,1.0,21,0,0,0
782792481784078337,u'$GOOG $AAPL stock1ace1: $KTOVW ~~&gt; $1.10 Close Friday ! - stock1ace1 https://t.co/LZ6uiuUodR',False,1,1,54,0.0,19,1,0,0
782791613563097088,u'https://t.co/6Uzlwrognu\nApple OLED Screen Talks Nudge Sharp\u2019s Shares Higher via @YahooFinance\n$AAPL',True,1,1,11229,1.0,18,0,0,0
782791385233625088,u'RT @TopFiveTraders: StockConsultant: $AAPL sitting on support with a little bull flag #stocks https://t.co/BfKsI57q6p',False,1,0,1336,2.0,14,0,0,0
782791384461930496,"u'RT @Mariasurfers812: MacHashNews: Suspect 27"" iMac model with Intel Kaby Lake pops up at Best Buy https://t.co/bJZKz09xzJ #AppleInsider $AA\u2026'",False,1,0,1336,2.0,21,0,0,0
782791383706918912,"u'RT @MacHashNews: Suspect 27"" iMac model with Intel Kaby Lake pops up at Best Buy https://t.co/CK1kGXMXFo #AppleInsider $AAPL https://t.co/b\u2026'",False,1,0,1336,2.0,25,0,0,0
782791383056875521,u'RT @StockConsultant: $AAPL sitting on support with a little bull flag #stocks https://t.co/R5QqWIuIRE',False,1,0,1336,2.0,15,0,0,0
782791382176034817,u'RT @SinnerSkins: $AAPL #stocks https://t.co/bfduYpoEHR',False,1,0,1336,0.0,12,0,0,0
782790774270283777,u'@allaboutdann #StockTip - $UBQU is the hottest #mmjstocks #marijuanastocks #mjstocks right now. $SPCL $TBEV $DLCR $AAPL $SFOR',False,0,0,769,0.0,26,0,0,0
782789868971630592,u'RT @AnuHarchu: \u04e8\u043d\u04e9\u04e9\u0434\u04e9\u0440 @BloombergTVM-\u043d #\u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0439\u043d\u0426\u0430\u0433-\u0430\u0430\u0440:\n- Apple Pay \u0445\u0430\u044f\u0430\u043d\u0434 \u0438\u0440\u043b\u044d\u044d $AAPL\n- Google-\u0438\u0439\u043d \u0448\u0438\u043d\u044d \u0443\u0442\u0430\u0441\u043d\u0443\u0443\u0434 \u044f\u043c\u0430\u0440 \u0431\u0430\u0439\u0445 \u0432\u044d?\nhttps:/\u2026',False,9,0,4135,-1.0,15,0,1,0
782789134813319169,u'Retweeted Asymmetric Alpha (@AsymmetricAlpha):\n\n$TWTR \U000feb9a Let the Bidding War begin! $GOOGL $DIS $AAPL $CRM... https://t.co/mXEamgXIDi',False,0,2,15396,-2.0,33,1,0,0
782789101091164160,u'RT @AsymmetricAlpha: $TWTR \U0001f447 Let the Bidding War begin! $GOOGL $DIS $AAPL $CRM https://t.co/lxtWJcfD2H',False,2,0,15396,-2.0,31,1,0,0
782787220973289472,u'RT @AnuHarchu: \u04e8\u043d\u04e9\u04e9\u0434\u04e9\u0440 @BloombergTVM-\u043d #\u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0439\u043d\u0426\u0430\u0433-\u0430\u0430\u0440:\n- Apple Pay \u0445\u0430\u044f\u0430\u043d\u0434 \u0438\u0440\u043b\u044d\u044d $AAPL\n- Google-\u0438\u0439\u043d \u0448\u0438\u043d\u044d \u0443\u0442\u0430\u0441\u043d\u0443\u0443\u0434 \u044f\u043c\u0430\u0440 \u0431\u0430\u0439\u0445 \u0432\u044d?\nhttps:/\u2026',False,9,0,9827,-1.0,15,0,1,0
782785024580022272,"u'Watch List (October 2, 2016) ... https://t.co/OkQSJPKdh5 $SCHW $AIG $NTAP $AAPL https://t.co/G1rz5VWlUg'",False,0,4,215,0.0,28,0,0,0
782784791917629440,"u""Japan, China and Chicago PMIs all beat.  I'm guessing ISM PMI will beat also $spy $qqq $aapl""",False,0,2,61,0.0,13,0,0,0
782783636575629313,u'RT @AnuHarchu: \u04e8\u043d\u04e9\u04e9\u0434\u04e9\u0440 @BloombergTVM-\u043d #\u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0439\u043d\u0426\u0430\u0433-\u0430\u0430\u0440:\n- Apple Pay \u0445\u0430\u044f\u0430\u043d\u0434 \u0438\u0440\u043b\u044d\u044d $AAPL\n- Google-\u0438\u0439\u043d \u0448\u0438\u043d\u044d \u0443\u0442\u0430\u0441\u043d\u0443\u0443\u0434 \u044f\u043c\u0430\u0440 \u0431\u0430\u0439\u0445 \u0432\u044d?\nhttps:/\u2026',False,9,0,1196,-1.0,15,0,1,0
782783295549341696,u'RT @AnuHarchu: \u04e8\u043d\u04e9\u04e9\u0434\u04e9\u0440 @BloombergTVM-\u043d #\u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0439\u043d\u0426\u0430\u0433-\u0430\u0430\u0440:\n- Apple Pay \u0445\u0430\u044f\u0430\u043d\u0434 \u0438\u0440\u043b\u044d\u044d $AAPL\n- Google-\u0438\u0439\u043d \u0448\u0438\u043d\u044d \u0443\u0442\u0430\u0441\u043d\u0443\u0443\u0434 \u044f\u043c\u0430\u0440 \u0431\u0430\u0439\u0445 \u0432\u044d?\nhttps:/\u2026',False,9,0,22467,-1.0,15,0,1,0
782783060093771776,u'So What If Apple Adopts AMOLED Next Year? https://t.co/oMzi57hPci via @barronsasia $AAPL',True,0,0,2066,1.0,19,0,1,0
782781955641253889,u'Trading in the Zone by Mark Douglas: https://t.co/x51uDuLyRw $SPY $VIX $AAPL $FB $TSLA #trading',False,0,1,301,0.0,23,0,0,0
782781596218908672,u'StockConsultant: $AAPL sitting on support with a little bull flag #stocks https://t.co/BfKsI57q6p',False,1,1,5208,2.0,9,0,0,0
782781366307950593,"u""@kmrob12 @ShireNation @carlyfries89 @cararegan @Apple you have my support. I am a $AAPL shareholder as well so Im sure they'll be responsive""",False,0,2,318,4.0,9,0,0,0
782780604920102912,u'RT @AnuHarchu: \u04e8\u043d\u04e9\u04e9\u0434\u04e9\u0440 @BloombergTVM-\u043d #\u0422\u0435\u0445\u043d\u043e\u043b\u043e\u0433\u0438\u0439\u043d\u0426\u0430\u0433-\u0430\u0430\u0440:\n- Apple Pay \u0445\u0430\u044f\u0430\u043d\u0434 \u0438\u0440\u043b\u044d\u044d $AAPL\n- Google-\u0438\u0439\u043d \u0448\u0438\u043d\u044d \u0443\u0442\u0430\u0441\u043d\u0443\u0443\u0434 \u044f\u043c\u0430\u0440 \u0431\u0430\u0439\u0445 \u0432\u044d?\nhttps:/\u2026',False,9,0,891,-1.0,15,0,1,0
782780242310074368,"u'MacHashNews: Suspect 27"" iMac model with Intel Kaby Lake pops up at Best Buy https://t.co/bJZKz09xzJ #AppleInsider $AAPL \u2026'",False,1,0,694,2.0,20,0,0,0
782779738972577793,"u'Suspect 27"" iMac model with Intel Kaby Lake pops up at Best Buy https://t.co/CK1kGXMXFo #AppleInsider $AAPL https://t.co/bH6SaEN9vW'",False,1,1,1571,2.0,25,0,0,0
782777122914000896,u'$AAPL sitting on support with a little bull flag #stocks https://t.co/R5QqWIuIRE',False,1,2,5565,2.0,11,0,0,0
782776220115169280,"u'RT @WilliamKaraman: My team of Investors were in $VHC before $AAPL owed 302M $AAPL lost patent retrial to VirnetX, $AAPL now owes $302M htt\u2026'",False,2,0,1336,-3.0,25,0,0,0
782776219112763395,u'RT @AmyAtrade: $SPY $QQQ $USO $AAPL $AMZN $FB https://t.co/mCi3jXMan1',False,1,0,1336,0.0,26,0,0,0
782776218395537408,u'RT @Investing_Books: The Little Book That Still Beats The Market: https://t.co/Lc2BlY0qZZ $SPY $VIX $UVXY $TVIX $DWTI $UWTI $AAPL',False,1,0,1336,0.0,43,0,0,0
782776217611202560,u'RT @AnalystActions: $AAPL: Analyst action by Citigroup on Apple: https://t.co/oaNza82q0b https://t.co/0KBDYUfhI5',False,1,0,1336,0.0,18,0,0,0
782776216810090496,u'RT @Major_Hitman: MajorWatchList for Monday October 3rd: $VHC my top play on news that the company won a $300mil trial against $AAPL https:\u2026',False,1,0,1336,5.0,16,0,0,0
782776140746350592,u'$AAPL #stocks https://t.co/bfduYpoEHR',False,1,1,845,0.0,8,0,0,0
782775491300319232,"u""RT @AsymmetricAlpha: What will be $Google's final Buyout offer for Twitter? $GOOG $TWTR $GOOGL $AAPL $FB $DIS $CRM Please RT\U0001f447\U0001f911""",False,12,0,340,1.0,38,0,1,0
782775337931382784,"u""RT @worldpeacerocks: Corporate America's Huge Appetite For Renewable Energy https://t.co/sVlyc15XGT $WMT $AAPL $BAC $DOW $AMZN $GOOG $MSFT\u2026""",False,1,0,22964,1.0,38,0,0,0
782774746010251268,"u'My app just went grey, it said ""cleaning..."", and when it started back up, BOOM! 300MB cleaned. Why not publicise this $aapl?'",False,0,1,41,-1.0,8,1,1,0
782774177627533312,u'RT @TheIpHawk: Moved my blog post to seekingalpha on VirnetX v Apple trial.  I hope those in patent community read it $VHC $AAPL https://t.\u2026',False,6,0,422,2.0,17,0,0,0
782773202753847297,"u""RT @JackDamn: Updated drone video and facts on Apple's new world headquarters being built in California: https://t.co/8fY841SDXm (run-time\u2026""",False,4,0,551,0.0,11,0,0,0
782772337666031616,"u""MacHashNews: \u2018The Silent Age' Arrives to Apple TV https://t.co/gNpHjQ4wu5 #GameMob $AAPL #mac #Apple #applekeynote #iphone #newstweet #Tre\u2026""",False,0,1,694,0.0,21,0,0,0
782772087039463425,"u'RT @MacHashNews: Tim Cook talks Steve Jobs, need for encryption at Utah Tech Tour [Video] https://t.co/TsKAPOnz4s #9to5Mac $AAPL https://t.\u2026'",False,2,0,285,0.0,23,0,0,0
